models,f1_weighted_train,f1_weighted_test,roc_auc_ovr_weighted_train,roc_auc_ovr_weighted_test,balanced_accuracy_train,balanced_accuracy_test,balanced_accuracy_diff,log_loss
RandomForestClassifier,0.9443845728115571,0.7327558319001551,0.990250743129401,0.7941463823181236,0.9457656612529002,0.5056943822640155,0.44007127898888465,0.9452515621113721
KNeighborsClassifier,0.9455381301751342,0.5095486178494453,0.9878598158896389,0.3762097843873685,0.9469257540603249,0.10871167416492436,0.8382140798954005,13.268240442891212
